longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,13.022764012181574
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,12.789683939021812
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,12.771670505143144
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,12.740517134894798
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,12.74315064044023
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,12.505065509127821
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,12.60886752508246
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,12.394210587645569
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,12.33138283649562
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,12.47265875468722
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,12.547887726561882
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,12.39586621716283
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,12.271392111650817
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,12.161598155428344
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,11.97791655239242
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,11.84939770159144
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,11.934919875029603
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,11.954401010601426
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,11.9747709065145
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,12.000891794590137
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,11.901583454762012
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,11.981678312314312
